indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
195,2500,25,7,,150,3,147,2228,122,2,94.81,2.4,93.81
196,2500,30,7,,165,7,158,2217,118,4.24,94.95,5.6,93.35
197,2500,40,7,,77,1,76,2299,124,1.3,94.88,0.8,96.8
198,2500,50,7,,83,2,81,2294,123,2.41,94.91,1.6,96.59
199,2500,60,7,,55,2,53,2322,123,3.64,94.97,1.6,97.77
200,2500,70,7,,45,0,45,2330,125,0,94.91,0,98.11
201,2500,75,7,,28,2,26,2349,123,7.14,95.02,1.6,98.91
202,2500,80,7,,33,0,33,2342,125,0,94.93,0,98.61
203,2500,90,7,,17,0,17,2358,125,0,94.97,0,99.28
204,2500,100,7,,12,1,11,2364,124,8.33,95.02,0.8,99.54
205,2500,10,8,,436,21,415,1960,104,4.82,94.96,16.8,82.53
206,2500,20,8,,274,12,262,2113,113,4.38,94.92,9.6,88.97
207,2500,25,8,,178,14,164,2211,111,7.87,95.22,11.2,93.09
208,2500,30,8,,136,7,129,2246,118,5.15,95.01,5.6,94.57
209,2500,40,8,,68,3,65,2310,122,4.41,94.98,2.4,97.26
210,2500,50,8,,68,1,67,2308,124,1.47,94.9,0.8,97.18
211,2500,60,8,,67,5,62,2313,120,7.46,95.07,4,97.39
212,2500,70,8,,35,4,31,2344,121,11.43,95.09,3.2,98.69
213,2500,75,8,,26,1,25,2350,124,3.85,94.99,0.8,98.95
214,2500,80,8,,25,2,23,2352,123,8,95.03,1.6,99.03
215,2500,90,8,,24,1,23,2352,124,4.17,94.99,0.8,99.03
216,2500,100,8,,15,2,13,2362,123,13.33,95.05,1.6,99.45
217,5000,10,2,,822,33,789,3961,217,4.01,94.81,13.2,83.39
218,5000,20,2,,484,19,465,4285,231,3.93,94.88,7.6,90.21
219,5000,25,2,,322,20,302,4448,230,6.21,95.08,8,93.64
220,5000,30,2,,246,11,235,4515,239,4.47,94.97,4.4,95.05
221,5000,40,2,,201,14,187,4563,236,6.97,95.08,5.6,96.06
222,5000,50,2,,171,5,166,4584,245,2.92,94.93,2,96.51
223,5000,60,2,,95,3,92,4658,247,3.16,94.96,1.2,98.06
224,5000,70,2,,84,2,82,4668,248,2.38,94.96,0.8,98.27
225,5000,75,2,,100,6,94,4656,244,6,95.02,2.4,98.02
226,5000,80,2,,59,4,55,4695,246,6.78,95.02,1.6,98.84
227,5000,90,2,,37,1,36,4714,249,2.7,94.98,0.4,99.24
228,5000,100,2,,23,3,20,4730,247,13.04,95.04,1.2,99.58
229,5000,125,2,,34,4,30,4720,246,11.76,95.05,1.6,99.37
230,5000,10,3,,837,43,794,3956,207,5.14,95.03,17.2,83.28
231,5000,20,3,,480,26,454,4296,224,5.42,95.04,10.4,90.44
232,5000,25,3,,486,24,462,4288,226,4.94,94.99,9.6,90.27
233,5000,30,3,,319,13,306,4444,237,4.08,94.94,5.2,93.56
234,5000,40,3,,179,11,168,4582,239,6.15,95.04,4.4,96.46
235,5000,50,3,,100,6,94,4656,244,6,95.02,2.4,98.02
236,5000,60,3,,93,2,91,4659,248,2.15,94.95,0.8,98.08
237,5000,70,3,,59,4,55,4695,246,6.78,95.02,1.6,98.84
238,5000,75,3,,59,3,56,4694,247,5.08,95,1.2,98.82
239,5000,80,3,,40,1,39,4711,249,2.5,94.98,0.4,99.18
240,5000,90,3,,60,3,57,4693,247,5,95,1.2,98.8
241,5000,100,3,,25,1,24,4726,249,4,94.99,0.4,99.49
242,5000,125,3,,11,0,11,4739,250,0,94.99,0,99.77
243,5000,10,4,,805,35,770,3980,215,4.35,94.87,14,83.79
244,5000,20,4,,412,16,396,4354,234,3.88,94.9,6.4,91.66
245,5000,25,4,,451,19,432,4318,231,4.21,94.92,7.6,90.91
246,5000,30,4,,237,14,223,4527,236,5.91,95.05,5.6,95.31
247,5000,40,4,,209,6,203,4547,244,2.87,94.91,2.4,95.73
248,5000,50,4,,149,8,141,4609,242,5.37,95.01,3.2,97.03
249,5000,60,4,,125,5,120,4630,245,4,94.97,2,97.47
250,5000,70,4,,105,4,101,4649,246,3.81,94.97,1.6,97.87
251,5000,75,4,,75,2,73,4677,248,2.67,94.96,0.8,98.46
252,5000,80,4,,62,2,60,4690,248,3.23,94.98,0.8,98.74
253,5000,90,4,,59,4,55,4695,246,6.78,95.02,1.6,98.84
254,5000,100,4,,26,1,25,4725,249,3.85,94.99,0.4,99.47
255,5000,125,4,,10,0,10,4740,250,0,94.99,0,99.79
256,5000,10,5,,814,34,780,3970,216,4.18,94.84,13.6,83.58
257,5000,20,5,,431,20,411,4339,230,4.64,94.97,8,91.35
258,5000,25,5,,317,14,303,4447,236,4.42,94.96,5.6,93.62
259,5000,30,5,,379,21,358,4392,229,5.54,95.04,8.4,92.46
260,5000,40,5,,203,15,188,4562,235,7.39,95.1,6,96.04
261,5000,50,5,,144,6,138,4612,244,4.17,94.98,2.4,97.09
262,5000,60,5,,102,6,96,4654,244,5.88,95.02,2.4,97.98
263,5000,70,5,,58,2,56,4694,248,3.45,94.98,0.8,98.82
264,5000,75,5,,67,2,65,4685,248,2.99,94.97,0.8,98.63
265,5000,80,5,,64,2,62,4688,248,3.12,94.98,0.8,98.69
266,5000,90,5,,68,6,62,4688,244,8.82,95.05,2.4,98.69
267,5000,100,5,,26,1,25,4725,249,3.85,94.99,0.4,99.47
268,5000,125,5,,16,2,14,4736,248,12.5,95.02,0.8,99.71
269,5000,10,6,,761,29,732,4018,221,3.81,94.79,11.6,84.59
270,5000,20,6,,345,22,323,4427,228,6.38,95.1,8.8,93.2
271,5000,25,6,,429,19,410,4340,231,4.43,94.95,7.6,91.37
272,5000,30,6,,313,16,297,4453,234,5.11,95.01,6.4,93.75
273,5000,40,6,,179,10,169,4581,240,5.59,95.02,4,96.44
274,5000,50,6,,104,3,101,4649,247,2.88,94.96,1.2,97.87
275,5000,60,6,,72,6,66,4684,244,8.33,95.05,2.4,98.61
276,5000,70,6,,68,5,63,4687,245,7.35,95.03,2,98.67
277,5000,75,6,,48,1,47,4703,249,2.08,94.97,0.4,99.01
278,5000,80,6,,81,9,72,4678,241,11.11,95.1,3.6,98.48
279,5000,90,6,,36,1,35,4715,249,2.78,94.98,0.4,99.26
280,5000,100,6,,23,0,23,4727,250,0,94.98,0,99.52
281,5000,125,6,,11,1,10,4740,249,9.09,95.01,0.4,99.79
282,5000,10,7,,680,39,641,4109,211,5.74,95.12,15.6,86.51
283,5000,20,7,,368,24,344,4406,226,6.52,95.12,9.6,92.76
284,5000,25,7,,335,17,318,4432,233,5.07,95.01,6.8,93.31
285,5000,30,7,,315,16,299,4451,234,5.08,95.01,6.4,93.71
286,5000,40,7,,159,8,151,4599,242,5.03,95,3.2,96.82
287,5000,50,7,,138,10,128,4622,240,7.25,95.06,4,97.31
288,5000,60,7,,97,3,94,4656,247,3.09,94.96,1.2,98.02
289,5000,70,7,,100,4,96,4654,246,4,94.98,1.6,97.98
290,5000,75,7,,79,4,75,4675,246,5.06,95,1.6,98.42
291,5000,80,7,,75,9,66,4684,241,12,95.11,3.6,98.61
292,5000,90,7,,45,3,42,4708,247,6.67,95.02,1.2,99.12
293,5000,100,7,,33,4,29,4721,246,12.12,95.05,1.6,99.39
294,5000,125,7,,13,0,13,4737,250,0,94.99,0,99.73
295,5000,10,8,,797,36,761,3989,214,4.52,94.91,14.4,83.98
296,5000,20,8,,431,19,412,4338,231,4.41,94.94,7.6,91.33
297,5000,25,8,,279,8,271,4479,242,2.87,94.87,3.2,94.29
298,5000,30,8,,272,18,254,4496,232,6.62,95.09,7.2,94.65
299,5000,40,8,,145,6,139,4611,244,4.14,94.97,2.4,97.07
300,5000,50,8,,110,8,102,4648,242,7.27,95.05,3.2,97.85
301,5000,60,8,,95,2,93,4657,248,2.11,94.94,0.8,98.04
302,5000,70,8,,72,4,68,4682,246,5.56,95.01,1.6,98.57
303,5000,75,8,,48,8,40,4710,242,16.67,95.11,3.2,99.16
304,5000,80,8,,31,1,30,4720,249,3.23,94.99,0.4,99.37
305,5000,90,8,,56,4,52,4698,246,7.14,95.02,1.6,98.91
306,5000,100,8,,39,2,37,4713,248,5.13,95,0.8,99.22
307,5000,125,8,,19,0,19,4731,250,0,94.98,0,99.6
308,5000,10,9,,696,30,666,4084,220,4.31,94.89,12,85.98
309,5000,20,9,,458,27,431,4319,223,5.9,95.09,10.8,90.93
310,5000,25,9,,342,19,323,4427,231,5.56,95.04,7.6,93.2
311,5000,30,9,,375,21,354,4396,229,5.6,95.05,8.4,92.55
312,5000,40,9,,164,5,159,4591,245,3.05,94.93,2,96.65
313,5000,50,9,,113,6,107,4643,244,5.31,95.01,2.4,97.75
314,5000,60,9,,87,6,81,4669,244,6.9,95.03,2.4,98.29
315,5000,70,9,,115,9,106,4644,241,7.83,95.07,3.6,97.77
316,5000,75,9,,55,4,51,4699,246,7.27,95.03,1.6,98.93
317,5000,80,9,,43,2,41,4709,248,4.65,95,0.8,99.14
318,5000,90,9,,38,2,36,4714,248,5.26,95,0.8,99.24
319,5000,100,9,,31,2,29,4721,248,6.45,95.01,0.8,99.39
320,5000,125,9,,16,0,16,4734,250,0,94.98,0,99.66
321,5000,10,10,,806,42,764,3986,208,5.21,95.04,16.8,83.92
322,5000,20,10,,454,21,433,4317,229,4.63,94.96,8.4,90.88
323,5000,25,10,,396,19,377,4373,231,4.8,94.98,7.6,92.06
324,5000,30,10,,201,9,192,4558,241,4.48,94.98,3.6,95.96
325,5000,40,10,,173,5,168,4582,245,2.89,94.92,2,96.46
326,5000,50,10,,150,7,143,4607,243,4.67,94.99,2.8,96.99
327,5000,60,10,,138,9,129,4621,241,6.52,95.04,3.6,97.28
328,5000,70,10,,97,4,93,4657,246,4.12,94.98,1.6,98.04
329,5000,75,10,,79,5,74,4676,245,6.33,95.02,2,98.44
330,5000,80,10,,76,2,74,4676,248,2.63,94.96,0.8,98.44
331,5000,90,10,,37,2,35,4715,248,5.41,95,0.8,99.26
332,5000,100,10,,29,2,27,4723,248,6.9,95.01,0.8,99.43
333,5000,125,10,,38,2,36,4714,248,5.26,95,0.8,99.24
334,5000,10,11,,811,32,779,3971,218,3.95,94.8,12.8,83.6
335,5000,20,11,,432,22,410,4340,228,5.09,95.01,8.8,91.37
336,5000,25,11,,292,15,277,4473,235,5.14,95.01,6,94.17
337,5000,30,11,,248,10,238,4512,240,4.03,94.95,4,94.99
338,5000,40,11,,201,8,193,4557,242,3.98,94.96,3.2,95.94
339,5000,50,11,,118,8,110,4640,242,6.78,95.04,3.2,97.68
340,5000,60,11,,136,8,128,4622,242,5.88,95.02,3.2,97.31
341,5000,70,11,,97,5,92,4658,245,5.15,95,2,98.06
342,5000,75,11,,60,8,52,4698,242,13.33,95.1,3.2,98.91
343,5000,80,11,,67,6,61,4689,244,8.96,95.05,2.4,98.72
344,5000,90,11,,49,1,48,4702,249,2.04,94.97,0.4,98.99
345,5000,100,11,,39,5,34,4716,245,12.82,95.06,2,99.28
346,5000,125,11,,40,3,37,4713,247,7.5,95.02,1.2,99.22
347,10000,10,2,,1490,80,1410,8090,420,5.37,95.06,16,85.16
348,10000,50,2,,202,6,196,9304,494,2.97,94.96,1.2,97.94
349,10000,75,2,,108,4,104,9396,496,3.7,94.99,0.8,98.91
350,10000,100,2,,54,3,51,9449,497,5.56,95,0.6,99.46
351,10000,250,2,,10,1,9,9491,499,10,95.01,0.2,99.91
352,10000,10,3,,1597,95,1502,7998,405,5.95,95.18,19,84.19
353,10000,50,3,,265,15,250,9250,485,5.66,95.02,3,97.37
354,10000,75,3,,197,10,187,9313,490,5.08,95,2,98.03
355,10000,100,3,,55,1,54,9446,499,1.82,94.98,0.2,99.43
356,10000,250,3,,5,0,5,9495,500,0,95,0,99.95
357,10000,10,5,,1609,58,1551,7949,442,3.6,94.73,11.6,83.67
358,10000,50,5,,209,9,200,9300,491,4.31,94.99,1.8,97.89
359,10000,75,5,,119,8,111,9389,492,6.72,95.02,1.6,98.83
360,10000,100,5,,96,2,94,9406,498,2.08,94.97,0.4,99.01
361,10000,250,5,,5,0,5,9495,500,0,95,0,99.95
362,10000,10,7,,1452,72,1380,8120,428,4.96,94.99,14.4,85.47
363,10000,50,7,,268,12,256,9244,488,4.48,94.99,2.4,97.31
364,10000,75,7,,151,7,144,9356,493,4.64,94.99,1.4,98.48
365,10000,100,7,,55,2,53,9447,498,3.64,94.99,0.4,99.44
366,10000,250,7,,9,0,9,9491,500,0,95,0,99.91
367,10000,10,9,,1582,75,1507,7993,425,4.74,94.95,15,84.14
368,10000,50,9,,289,17,272,9228,483,5.88,95.03,3.4,97.14
369,10000,75,9,,93,1,92,9408,499,1.08,94.96,0.2,99.03
370,10000,100,9,,104,4,100,9400,496,3.85,94.99,0.8,98.95
371,10000,250,9,,10,0,10,9490,500,0,94.99,0,99.89
372,10000,10,11,,1340,55,1285,8215,445,4.1,94.86,11,86.47
373,10000,50,11,,249,11,238,9262,489,4.42,94.99,2.2,97.49
374,10000,75,11,,136,6,130,9370,494,4.41,94.99,1.2,98.63
375,10000,100,11,,74,4,70,9430,496,5.41,95,0.8,99.26
