indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
391,25000,250,5,,753,41,712,23038,1209,5.44,95.01,3.28,97
392,25000,10,7,,749,36,713,23037,1214,4.81,94.99,2.88,97
393,25000,50,7,,749,45,704,23046,1205,6.01,95.03,3.6,97.04
394,25000,75,7,,753,37,716,23034,1213,4.91,95,2.96,96.99
395,25000,100,7,,752,47,705,23045,1203,6.25,95.04,3.76,97.03
396,25000,250,7,,755,35,720,23030,1215,4.64,94.99,2.8,96.97
397,25000,10,9,,755,19,736,23014,1231,2.52,94.92,1.52,96.9
398,25000,50,9,,753,45,708,23042,1205,5.98,95.03,3.6,97.02
399,25000,75,9,,751,32,719,23031,1218,4.26,94.98,2.56,96.97
400,25000,100,9,,748,38,710,23040,1212,5.08,95,3.04,97.01
401,25000,250,9,,750,46,704,23046,1204,6.13,95.04,3.68,97.04
402,25000,10,11,,739,32,707,23043,1218,4.33,94.98,2.56,97.02
403,25000,50,11,,752,35,717,23033,1215,4.65,94.99,2.8,96.98
404,25000,75,11,,753,42,711,23039,1208,5.58,95.02,3.36,97.01
405,25000,100,11,,751,29,722,23028,1221,3.86,94.96,2.32,96.96
406,25000,250,11,,754,41,713,23037,1209,5.44,95.01,3.28,97
